no,billToName,billToCity,state
{7ED2E6B6-5388-4BB1-,SWASHAKTHI ENERGY,ANANTPUR,AP
PSDN25-00001,HIMALAYAN SOLAR LIMITED,BARAWALA,HR
PSDN25-00002,APRICATE POWER PRIVATE LIMITED,PANIPAT,HR
SINV24-02298,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV24-02299,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV24-02300,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV24-02301,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV24-02302,FBI MULTI VENTURES,CHADOORA,JK
SINV24-02303,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV24-02304,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV24-02305,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV24-02306,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV24-02307,BHARAT ENTERPRISES,SAHARANPUR,UP
SINV24-02310,KATAL ELECTRONICS,MUKERIAN,PB
SINV24-02311,SHREE KRISHNA ELECTRIC BIKE,RAEBRELI,UP
SINV24-02312,UDIT ENTERPRISES,GONDA,UP
SINV24-02313,SHRADDHAPREM ENTERPRISES,GORAKHPUR,UP
SINV24-02316,LALA MELI RAM AND SONS,NARWANA,HR
SINV24-02320,SIDHU COMPUTER CARE,MALOUT,PB
SINV24-02326,SAT SOLAR ENERGY PRIVATE LIMITED,KARNAL,HR
SINV24-02327,ISHAAN BRIGHT ENERGY (OPC) PRIVATE LIMITED,KURUKSHETRA,HR
SINV24-02328,DIAMOND RENEWABLE SOLUTIONS PRIVATE LIMITED,ZIRAKPUR,PB
SINV24-02329,LEELA RENEWABLES PRIVATE LIMITED,MOGA,PB
SINV24-02332,LEELA RENEWABLES PRIVATE LIMITED,MOGA,PB
SINV24-02335,ULTRA SOLUTIONS,LUDHIANA,PB
SINV24-02336,ULTRA SOLUTIONS,LUDHIANA,PB
SINV24-02339,SHIV DHVANI TRADERS,JHANSI,UP
SINV24-02340,PATEL HARDWARE,BETUL,MP
SINV24-02344,SONIC ENGINEERING & AUTOMATION,DEHRADUN,UK
SINV24-02348,SONIC ENGINEERING & AUTOMATION,DEHRADUN,UK
SINV24-02349,SUNGLOW ELECTRIC POWER PRIVATE LIMITED,PALI,HR
SINV24-02350,SUNGLOW ELECTRIC POWER PRIVATE LIMITED,PALI,HR
SINV24-02355,BHAGWAN DASS & SONS,KHANAURI,PB
SINV24-02356,KRPC ENTERPRISES PVT LTD,DELHI,DL
SINV24-02365,7 BILLION SOLAR ENERGIES,MOHALI,PB
SINV24-02370,HIMALAYAN SOLAR PRIVATE LIMITED,BARWALA,HR
SINV24-02371,HIMALAYAN SOLAR PRIVATE LIMITED,BARWALA,HR
SINV24-02372,HIMALAYAN SOLAR PRIVATE LIMITED,BARWALA,HR
SINV24-02378,HIMALAYAN SOLAR PRIVATE LIMITED,BARWALA,HR
SINV24-02383,GLOBAL ENTERPRISES,BHATINDA,PB
SINV24-02384,SIDHU COMPUTER CARE,MALOUT,PB
SINV24-02387,AK DAS ENTERPRISES,THANABHAWAN,UP
SINV24-02388,HIMALAYAN SOLAR PRIVATE LIMITED,BARWALA,HR
SINV24-02398,SUNGLOW ELECTRIC POWER PRIVATE LIMITED,PALI,HR
SINV24-02399,EVERON ENERGIES,NAGPUR,MH
SINV24-02400,EVERON ENERGIES,NAGPUR,MH
SINV24-02401,THE GOELA ELECTRIC CO,AMBALA,HR
SINV24-02402,SHREE KRISHNA ELECTRIC BIKE,RAEBRELI,UP
SINV24-02409,SURAJ SOLAR AGENCY,YAMUNANAGAR,HR
SINV24-02410,BABA ELECTRICAL STORE,SITAPUR,UP
SINV24-02413,DWEEP CLEANTECH PRIVATE LIMITED,BARAUT,UP
SINV24-02419,HIMALAYAN SOLAR PRIVATE LIMITED,BARWALA,HR
SINV24-02420,HIMALAYAN SOLAR PRIVATE LIMITED,BARWALA,HR
SINV24-02421,SHREE DEV SOLER LIGHT,CHURU,RJ
SINV24-02437,GREEN SOLAR ENERGY,MEERUT,UP
SINV24-02440,MDS AGRI INFRASTRUCTURE,BANJARAWALA,UK
SINV24-02441,ECOGOLD SOLAR PRODUCTS & SYSTEMS PRIVATE LIMITED,LUCKNOW,UP
SINV24-02443,SUNRISE SOLAR SOLUTION,BAREILLY,UP
SINV24-02445,M/S CHANDRA TRADERS,Muzaffarnagar,UP
SINV24-02447,SUN POWER SOLAR ENERGY,KANINA,HR
SINV24-02449,SURAJ SOLAR AGENCY,YAMUNANAGAR,HR
SINV24-02471,SUNRISE SOLAR ENTERPRISES,KANPUR,UP
SINV24-02474,MAHINDRA POWER SOLUTION,REENGUS,RJ
SINV24-02475,SIDHU COMPUTER CARE,MALOUT,PB
SINV24-02476,FRIENDS SOLAR SOLUTION,PANIPAT,HR
SINV24-02483,NAVYA TRADERS,ISMAILAPUR,UP
SINV24-02486,FBI MULTI VENTURES,CHADOORA,JK
SINV24-02487,SHRAVYA SOLAR TECHNOLOGIES PVT LTD,BAHADURGARH,HR
SINV24-02488,SHREE KRISHNA ELECTRIC BIKE,RAEBRELI,UP
SINV24-02517,KATAL ELECTRONICS,MUKERIAN,PB
SINV24-02518,TARAN TRADERS,GURDASPUR,PB
SINV24-02525,SUNGLOW ELECTRIC POWER PRIVATE LIMITED,PALI,HR
