Amount,AmountIncludingVAT,Description,DocumentNo,BilltoCustomerNo,Quantity,PostingDate,LocationCode,GSTAssessableValueLCY,InvDiscountAmount,ItemCategoryCode,no,billToName,billToCity,state
3508120.0,3508120.0,SOLAR PANEL 520 WP MONO HALF CUT DCR BIFACIAL,{7ED2E6B6-5388-4BB1-,C000592,308.0,2026-05-06,FG,0,0,FG-SOLAR PANEL TB,{7ED2E6B6-5388-4BB1-,SWASHAKTHI ENERGY,ANANTPUR,AP
0.0,0.0,Credit Memo No. CN25-00224:,PSDN25-00001,,0.0,2025-11-06,FG,0,0,,PSDN25-00001,HIMALAYAN SOLAR LIMITED,BARAWALA,HR
7095.0,7095.0,SALE DOMESTICS,PSDN25-00001,C000395,1.0,2025-11-06,FG,0,0,,PSDN25-00001,HIMALAYAN SOLAR LIMITED,BARAWALA,HR
0.0,0.0,Invoice No. SINV25-04584:,PSDN25-00002,,0.0,2026-03-10,,0,0,,PSDN25-00002,APRICATE POWER PRIVATE LIMITED,PANIPAT,HR
0.0,0.0,Shipment No. DS25-04120:,PSDN25-00002,,0.0,2026-03-10,,0,0,,PSDN25-00002,APRICATE POWER PRIVATE LIMITED,PANIPAT,HR
634500.0,634500.0,SALE DOMESTICS,PSDN25-00002,C000551,1.0,2026-03-10,FG,0,0,,PSDN25-00002,APRICATE POWER PRIVATE LIMITED,PANIPAT,HR
0.0,0.0,Shipment No. DS24-01745:,SINV24-02298,,0.0,2025-02-01,,0,0,,SINV24-02298,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
2562560.0,2562560.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV24-02298,C000106,224.0,2025-02-01,FG,0,0,FG-SOLAR PANEL WB,SINV24-02298,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
0.0,0.0,Shipment No. DS24-01746:,SINV24-02299,,0.0,2025-02-01,,0,0,,SINV24-02299,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
2562560.0,2562560.0,SOLAR PANEL 520 WP MONO HALF CUT DCR,SINV24-02299,C000106,224.0,2025-02-01,FG,0,0,FG-SOLAR PANEL WB,SINV24-02299,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
0.0,0.0,Shipment No. DS24-01747:,SINV24-02300,,0.0,2025-02-03,FG,0,0,,SINV24-02300,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
